Location,Category,Sub-Category,Land Size(M2),Building Size(M2),Bedrooms,Bathrooms,Longitude,Latitude,Price(Php)
"Kaylaway, Nasugbu",House,"House,single-family-house",99.0,54.0,3.0,2.0,120.810579,14.0778507,5123610.0
"Santa Cruz, Antipolo",Land,"Land,residential-lot",1215.5,728.0,7.0,7.199999999999999,121.1976151,14.6179598,32220000.0
"B.F. Homes, Paranaque",House,"House,single-family-house",408.0,380.0,5.0,5.0,121.0245799,14.4521766,29000000.0
"Guadalupe Viejo, Makati",Condominium,"Condominium,4-bedroom",117.60000000000002,230.0,4.0,3.0,121.040676,14.564421,55000000.0
"Diliman, Quezon City",House,"House,townhouse",97.59999999999997,500.0,4.0,5.0,121.0528,14.6462,48800000.0
"Santo Rosario, Magalang",House,"House,townhouse",44.0,40.0,2.0,1.0,120.649277,15.239425,1750164.0
"Calamba, Cebu",Commercial,"Commercial,building",561.0,2.842170943040401e-14,2.1999999999999997,1.4000000000000001,123.8876821,10.29875238,35000000.0
"Cupang, Muntinlupa",Land,"Land,commercial-lot",1215.5,728.0,7.0,7.199999999999999,121.040194,14.434669,110503536.64125
"Taft, Manila",Condominium,"Condominium,studio",22.60000000000008,21.0,1.0,1.0,121.0560385,14.5962746,3647141.0
"Katipunan, Quezon City",Condominium,"Condominium,studio",22.60000000000008,21.0,1.0,1.0,121.0443089,14.6621443,3581885.0
"Tagapo, Santa Rosa",Condominium,"Condominium,studio",43.60000000000002,28.52000000000001,1.0,1.0,121.0964134,14.3127655,3200000.0
"Candau-Ay, Dumaguete",House,"House,single-family-house",389.0,220.0,3.0,2.0,123.271614,9.310305,9000000.0
"San Roque, Antipolo",Condominium,"Condominium,double-bedroom",72.39999999999998,50.0,2.0,1.0,121.1719311,14.57128607,3000000.0
"Wack-Wack Greenhills, Mandaluyong",Condominium,"Condominium,3-bedroom",131.21200000000005,169.0,3.0,4.0,121.048466,14.58716839,36845080.0
"Molino III, Bacoor",House,"House,single-family-house",110.0,93.0,3.0,2.0,120.9777822,14.3981207,8500000.0
"Dela Paz, Antipolo",House,"House,townhouse",50.0,87.0,3.0,2.0,121.1742971,14.59077679,4686000.0
"Carmona, Makati",Commercial,"Commercial,offices",5.684341886080802e-14,79.0,2.1999999999999997,2.4,121.0275016,14.5570169,21463000.0
"Santa Cruz, Manila",Condominium,"Condominium,penthouse-1",298.79999999999995,295.0,3.0,3.4,120.984764,14.617888,24682000.0
"Binondo, Manila",Condominium,"Condominium,4-bedroom",120.38000000000005,187.0,4.0,4.0,121.0560385,14.5962746,20128000.0
"E. Rodriguez, Quezon City",House,"House,townhouse",85.0,210.0,3.0,3.0,121.052143,14.627397,18800000.0
"Talon Singko, Las Pinas",House,"House,townhouse",52.0,72.0,2.0,2.0,120.996723,14.422561,4800000.0
"Hulo, Mandaluyong",Condominium,"Condominium,single-bedroom",26.80000000000001,68.6,1.0,1.0,121.0355319,14.56777769,13450000.0
"Pilar, Las Pinas",House,"House,townhouse",105.0,216.0,4.0,3.0,121.0080137,14.417168,10758000.0
"Capitangan, Abucay",House,"House,single-family-house",204.0,200.0,3.0,2.0,120.4865635,14.6950331,5800000.0
"Bel-Air, Makati",Land,"Land,residential-lot",585.0,707.5199999999999,5.8,6.800000000000001,121.026342,14.563933,110503536.64125
"B.F. Homes, Paranaque",House,"House,single-family-house",650.0,735.0,7.0,8.0,121.0245799,14.4521766,59000000.0
"Maharlika West, Tagaytay",Condominium,"Condominium,single-bedroom",43.60000000000002,23.0,1.0,1.0,120.9434149,14.1026081,3500000.0
"Valle Verde 6, Pasig",House,"House,townhouse",200.0,430.0,5.0,5.0,121.075788,14.590946,110000000.0
"Gulod, Cabuyao",House,"House,single-family-house",60.0,26.0,1.0,1.0,121.1623549,14.2562824,1605999.0
"Fort Bonifacio, Taguig",Condominium,"Condominium,3-bedroom",177.20000000000002,210.0,3.0,3.0,121.050318,14.540867,70000000.0
